FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
220101;0100;10;;;
220101;0200;8;;;
220101;0300;11;;;
220101;0400;10;;;
220101;0500;13;;;
220101;0600;8;;;
220101;0700;6;;;
220101;0800;12;;;
220101;0900;12;;;
220101;1000;13;;;
220101;1100;13;;;
220101;1200;10;;;
220101;1300;10;;;
220101;1400;11;;;
220101;1500;8;;;
220101;1600;8;;;
220101;1700;8;;;
220101;1800;6;;;
220101;1900;6;;;
220101;2000;9;;;
220101;2100;10;;;
220101;2200;9;;;
220101;2300;8;;;
220102;0000;8;;;
220102;0100;5;;;
220102;0200;5;;;
220102;0300;6;;;
220102;0400;9;;;
220102;0500;12;;;
220102;0600;14;;;
220102;0700;11;;;
220102;0800;10;;;
220102;0900;9;;;
220102;1000;6;;;
220102;1100;7;;;
220102;1200;7;;;
220102;1300;5;;;
220102;1400;4;;;
220102;1500;7;;;
220102;1600;7;;;
220102;1700;6;;;
220102;1800;5;;;
220102;1900;8;;;
220102;2000;7;;;
220102;2100;8;;;
220102;2200;6;;;
220102;2300;5;;;
220103;0000;7;;;
220103;0100;10;;;
220103;0200;8;;;
220103;0300;8;;;
220103;0400;8;;;
220103;0500;12;;;
220103;0600;17;;;
220103;0700;15;;;
220103;0800;15;;;
220103;0900;22;;;
220103;1000;15;;;
220103;1100;13;;;
220103;1200;8;;;
220103;1300;8;;;
220103;1400;8;;;
220103;1500;8;;;
220103;1600;7;;;
220103;1700;6;;;
220103;1800;7;;;
220103;1900;5;;;
220103;2000;4;;;
220103;2100;6;;;
220103;2200;7;;;
220103;2300;4;;;
220104;0000;3;;;
220104;0100;5;;;
220104;0200;7;;;
220104;0300;8;;;
220104;0400;10;;;
220104;0500;8;;;
220104;0600;7;;;
220104;0700;8;;;
220104;0800;9;;;
220104;0900;6;;;
220104;1000;7;;;
220104;1100;12;;;
220104;1200;10;;;
220104;1300;12;;;
220104;1400;8;;;
220104;1500;2;;;
220104;1600;4;;;
220104;1700;6;;;
220104;1800;4;;;
220104;1900;5;;;
220104;2000;8;;;
220104;2100;9;;;
220104;2200;8;;;
220104;2300;9;;;
220105;0000;10;;;
220105;0100;8;;;
220105;0200;9;;;
220105;0300;12;;;
220105;0400;11;;;
220105;0500;16;;;
220105;0600;15;;;
220105;0700;9;;;
220105;0800;7;;;
220105;0900;8;;;
220105;1000;12;;;
220105;1100;12;;;
220105;1200;13;;;
220105;1300;17;;;
220105;1400;10;;;
220105;1500;16;;;
220105;1600;12;;;
220105;1700;12;;;
220105;1800;15;;;
220105;1900;13;;;
220105;2000;15;;;
220105;2100;20;;;
220105;2200;17;;;
220105;2300;14;;;
220106;0000;14;;;
220106;0100;13;;;
220106;0200;11;;;
220106;0300;9;;;
220106;0400;16;;;
220106;0500;15;;;
220106;0600;20;;;
220106;0700;27;;;
220106;0800;19;;;
220106;0900;23;;;
220106;1000;17;;;
220106;1100;20;;;
220106;1200;19;;;
220106;1300;16;;;
220106;1400;14;;;
220106;1500;18;;;
220106;1600;17;;;
220106;1700;15;;;
220106;1800;12;;;
220106;1900;13;;;
220106;2000;13;;;
220106;2100;14;;;
220106;2200;10;;;
220106;2300;9;;;
220107;0000;10;;;
220107;0100;10;;;
220107;0200;13;;;
220107;0300;12;;;
220107;0400;9;;;
220107;0500;9;;;
220107;0600;16;;;
220107;0700;20;;;
220107;0800;23;;;
220107;0900;23;;;
220107;1000;23;;;
220107;1100;20;;;
220107;1200;22;;;
220107;1300;16;;;
220107;1400;17;;;
220107;1500;16;;;
220107;1600;16;;;
220107;1700;14;;;
220107;1800;13;;;
220107;1900;10;;;
220107;2000;11;;;
220107;2100;19;;;
220107;2200;18;;;
220107;2300;13;;;
220108;0000;13;;;
220108;0100;14;;;
220108;0200;19;;;
220108;0300;15;;;
220108;0400;14;;;
220108;0500;12;;;
220108;0600;16;;;
220108;0700;14;;;
220108;0800;18;;;
220108;0900;17;;;
220108;1000;17;;;
220108;1100;15;;;
220108;1200;23;;;
220108;1300;18;;;
220108;1400;15;;;
220108;1500;14;;;
220108;1600;11;;;
220108;1700;12;;;
220108;1800;13;;;
220108;1900;10;;;
220108;2000;11;;;
220108;2100;10;;;
220108;2200;9;;;
220108;2300;12;;;
220109;0000;10;;;
220109;0100;8;;;
220109;0200;8;;;
220109;0300;7;;;
220109;0400;16;;;
220109;0500;15;;;
220109;0600;10;;;
220109;0700;10;;;
220109;0800;14;;;
220109;0900;19;;;
220109;1000;15;;;
220109;1100;17;;;
220109;1200;15;;;
220109;1300;10;;;
220109;1400;15;;;
220109;1500;10;;;
220109;1600;11;;;
220109;1700;12;;;
